Index,ACAI_equal_llm,ACAI_equal_human,Type,Research Activity,Regional Coverage,size_bucket,rank_llm,rank_human,abs_rank_diff,run_temperature
U1,38.54166666666667,70.83333333333333,Public Research-Oriented,R1,South,large,57.5,9.0,48.5,0.5
U10,64.58333333333334,60.763888888888886,Public Research-Oriented,R1,West,medium,15.5,36.5,21.0,0.5
U11,64.58333333333334,65.62500000000001,Public Research-Oriented,R1,West,large,15.5,21.0,5.5,0.5
U12,59.02777777777778,56.94444444444444,Public Research-Oriented,R1,West,large,29.0,44.0,15.0,0.5
U13,37.15277777777777,60.763888888888886,Public Research-Oriented,R1,West,large,60.0,36.5,23.5,0.5
U14,47.22222222222223,63.54166666666667,Public Research-Oriented,R2,West,large,49.0,27.5,21.5,0.5
U15,43.05555555555555,58.33333333333333,Public Research-Oriented,R2,West,large,53.0,41.0,12.0,0.5
U16,68.75000000000001,79.8611111111111,Public Research-Oriented,R2,West,large,8.0,2.0,6.0,0.5
U17,53.125,54.86111111111111,Public Research-Oriented,R2,West,medium,39.5,51.0,11.5,0.5
U18,70.13888888888889,68.75,Public Research-Oriented,R1,Midwest,large,6.0,14.5,8.5,0.5
U19,71.52777777777779,53.81944444444444,Public Research-Oriented,R1,Midwest,large,5.0,53.0,48.0,0.5
U2,62.5,77.08333333333333,Public Research-Oriented,R1,South,large,21.0,4.0,17.0,0.5
U20,56.94444444444444,63.541666666666664,Public Research-Oriented,R1,Midwest,large,33.0,29.5,3.5,0.5
U21,57.986111111111114,57.638888888888886,Public Research-Oriented,R1,Midwest,large,32.0,43.0,11.0,0.5
U22,77.77777777777777,60.06944444444444,Public Research-Oriented,R2,Midwest,large,1.0,39.0,38.0,0.5
U23,48.95833333333333,55.55555555555556,Public Research-Oriented,R2,Midwest,medium,47.0,46.5,0.5,0.5
U24,65.625,63.54166666666667,Public Research-Oriented,R2,Midwest,medium,14.0,27.5,13.5,0.5
U25,35.76388888888889,50.0,Public Research-Oriented,R2,Midwest,large,61.0,58.5,2.5,0.5
U26,68.75,72.56944444444444,Public Research-Oriented,R1,Northeast,large,9.0,8.0,1.0,0.5
U27,68.40277777777779,81.94444444444444,Public Research-Oriented,R1,Northeast,medium,10.0,1.0,9.0,0.5
U28,60.763888888888886,75.69444444444444,Public Research-Oriented,R1,Northeast,large,23.0,5.0,18.0,0.5
U29,58.33333333333333,61.11111111111111,Public Research-Oriented,R1,Northeast,medium,31.0,33.0,2.0,0.5
U3,64.58333333333333,65.97222222222221,Public Research-Oriented,R1,South,large,17.0,20.0,3.0,0.5
U30,3.125,27.430555555555554,Public Research-Oriented,R2,Northeast,small,74.0,77.0,3.0,0.5
U31,66.66666666666667,68.75,Public Research-Oriented,R2,Northeast,large,13.0,14.5,1.5,0.5
U32,37.847222222222214,50.0,Public Research-Oriented,R2,Northeast,medium,59.0,58.5,0.5,0.5
U33,67.01388888888889,61.45833333333333,Public Research-Oriented,R2,Northeast,medium,12.0,32.0,20.0,0.5
U34,54.861111111111114,63.541666666666664,Private Research-Oriented,R1,South,medium,36.0,29.5,6.5,0.5
U35,55.90277777777778,74.65277777777779,Private Research-Oriented,R1,South,large,34.0,6.0,28.0,0.5
U36,35.41666666666667,66.66666666666666,Private Research-Oriented,R1,South,medium,62.0,18.0,44.0,0.5
U37,40.625,45.13888888888889,Private Research-Oriented,R1,South,large,56.0,68.0,12.0,0.5
U38,0.0,48.958333333333336,Private Research-Oriented,R2,South,small,77.0,61.0,16.0,0.5
U39,63.54166666666667,60.76388888888889,Private Research-Oriented,R2,South,medium,20.0,34.0,14.0,0.5
U4,60.41666666666667,66.31944444444446,Public Research-Oriented,R1,South,large,24.5,19.0,5.5,0.5
U40,10.416666666666666,24.652777777777775,Private Research-Oriented,R2,South,small,73.0,78.0,5.0,0.5
U41,59.72222222222222,60.763888888888886,Private Research-Oriented,R2,South,small,27.0,36.5,9.5,0.5
U42,64.23611111111111,77.08333333333334,Private Research-Oriented,R1,West,medium,18.0,3.0,15.0,0.5
U43,53.125,43.402777777777786,Private Research-Oriented,R1,West,small,39.5,70.0,30.5,0.5
U44,67.70833333333334,64.2361111111111,Private Research-Oriented,R1,West,large,11.0,23.5,12.5,0.5
U45,50.0,48.95833333333333,Private Research-Oriented,R1,West,medium,45.0,62.0,17.0,0.5
U46,51.736111111111114,54.166666666666664,Private Research-Oriented,R2,West,medium,41.0,52.0,11.0,0.5
U47,60.416666666666664,68.40277777777779,Private Research-Oriented,R2,West,medium,26.0,16.0,10.0,0.5
U48,72.22222222222221,58.68055555555556,Private Research-Oriented,R1,Midwest,large,4.0,40.0,36.0,0.5
U49,0.0,72.91666666666666,Private Research-Oriented,R1,Midwest,medium,77.0,7.0,70.0,0.5
U5,60.41666666666667,69.79166666666667,Public Research-Oriented,R1,South,large,24.5,11.0,13.5,0.5
U50,69.44444444444446,70.13888888888889,Private Research-Oriented,R1,Midwest,medium,7.0,10.0,3.0,0.5
U51,53.81944444444444,57.986111111111114,Private Research-Oriented,R1,Midwest,medium,37.5,42.0,4.5,0.5
U52,55.55555555555556,37.84722222222222,Private Research-Oriented,R2,Midwest,medium,35.0,74.0,39.0,0.5
U53,49.65277777777778,48.263888888888886,Private Research-Oriented,R2,Midwest,small,46.0,64.0,18.0,0.5
U54,63.88888888888889,63.888888888888886,Private Research-Oriented,R2,Midwest,large,19.0,25.5,6.5,0.5
U55,20.833333333333332,23.958333333333332,Private Research-Oriented,R2,Midwest,medium,68.0,79.0,11.0,0.5
U56,74.30555555555556,69.44444444444444,Private Research-Oriented,R1,Northeast,medium,2.0,13.0,11.0,0.5
U57,51.041666666666664,45.83333333333333,Private Research-Oriented,R1,Northeast,medium,43.0,67.0,24.0,0.5
U58,59.02777777777778,65.625,Private Research-Oriented,R1,Northeast,small,29.0,22.0,7.0,0.5
U59,53.81944444444444,64.2361111111111,Private Research-Oriented,R1,Northeast,large,37.5,23.5,14.0,0.5
U6,17.708333333333332,47.56944444444444,Public Research-Oriented,R2,South,large,70.0,65.0,5.0,0.5
U60,72.91666666666666,63.888888888888886,Private Research-Oriented,R2,Northeast,medium,3.0,25.5,22.5,0.5
