Index,Type,Research Activity,Regional Coverage,Size,Institution,T1 - University Rules/Policies/Regulations,T2 - Center for Teaching & Learning,T3 - AI Institute/Initiative/Center/Hub/AI@U,T4 - Library/Library Guides,T5 - Academic Integrity/Honor Code,T6 - AI Steering Committee/Task Force,T7 - Other Relevant Links,all-links,mean_A,mean_B,mean_C,mean_D,alpha_overall,pairwise_overall,alpha_domain_aggregated,ACAI_equal,ACAI_equal_drop_k1,mean_A_drop_k1,mean_B_drop_k1,mean_C_drop_k1,mean_D_drop_k1,ACAI_equal_drop_k2,mean_A_drop_k2,mean_B_drop_k2,mean_C_drop_k2,mean_D_drop_k2,ACAI_equal_drop_k3,mean_A_drop_k3,mean_B_drop_k3,mean_C_drop_k3,mean_D_drop_k3,ACAI_indicators,ACAI_indicators_drop_k1,ACAI_indicators_drop_k2,ACAI_indicators_drop_k3,ACAI_policy_heavy,ACAI_policy_heavy_drop_k1,ACAI_policy_heavy_drop_k2,ACAI_policy_heavy_drop_k3,ACAI_teaching_heavy,ACAI_teaching_heavy_drop_k1,ACAI_teaching_heavy_drop_k2,ACAI_teaching_heavy_drop_k3,rank_equal,rank_equal_drop_k1,rank_change_equal_k1,rank_equal_drop_k2,rank_change_equal_k2,rank_equal_drop_k3,rank_change_equal_k3,max_abs_rank_change_equal,rank_indicators,rank_indicators_drop_k1,rank_change_indicators_k1,rank_indicators_drop_k2,rank_change_indicators_k2,rank_indicators_drop_k3,rank_change_indicators_k3,max_abs_rank_change_indicators,rank_policy_heavy,rank_policy_heavy_drop_k1,rank_change_policy_heavy_k1,rank_policy_heavy_drop_k2,rank_change_policy_heavy_k2,rank_policy_heavy_drop_k3,rank_change_policy_heavy_k3,max_abs_rank_change_policy_heavy,rank_teaching_heavy,rank_teaching_heavy_drop_k1,rank_change_teaching_heavy_k1,rank_teaching_heavy_drop_k2,rank_change_teaching_heavy_k2,rank_teaching_heavy_drop_k3,rank_change_teaching_heavy_k3,max_abs_rank_change_teaching_heavy
U1,Public Research-Oriented,R1,South,~80k students,Texas A&M University,"- https://www.it.tamu.edu/security-and-policy/it-policy/research-security-compliance/cloud-services-research.html  
- https://www.it.tamu.edu/ai-services/index.html  
- https://policies.tamus.edu/15-99-08.pdf 
- https://policies.tamus.edu/29-01-05.pdf 
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html 
- https://www.cyber.tamus.edu/policy/guidelines/ai/ 
- https://service.tamu.edu/TDClient/36/Portal/KB/ArticleDet?ID=1019 ","- https://cte.tamu.edu/initiatives/gen-ai/index.html 
- https://genai.tamids.tamu.edu/opportunities/gaire/ ","- https://ai.tamu.edu/index.html 
- https://tamids.tamu.edu/  
- https://genai.tamids.tamu.edu/   
- https://genai.tamids.tamu.edu/about-genai/   
- https://www.it.tamu.edu/about/strategic-initiatives/ai-framework.html","- https://tamu.libguides.com/c.php?g=1289555 
- https://tamu.libguides.com/c.php?g=1491584 ","- https://aggiehonor.tamu.edu/rules-procedures/sr20.html 
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html ",- https://www.tamus.edu/catie/workgroups/emergingtech/ ,"- https://genai.tamids.tamu.edu/   
- https://www.it.tamu.edu/ai-services/index.html   ","- https://www.it.tamu.edu/security-and-policy/it-policy/research-security-compliance/cloud-services-research.html
- https://www.it.tamu.edu/ai-services/index.html
- https://policies.tamus.edu/15-99-08.pdf
- https://policies.tamus.edu/29-01-05.pdf
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html
- https://www.cyber.tamus.edu/policy/guidelines/ai/
- https://service.tamu.edu/TDClient/36/Portal/KB/ArticleDet?ID=1019
- https://cte.tamu.edu/initiatives/gen-ai/index.html
- https://genai.tamids.tamu.edu/opportunities/gaire/
- https://ai.tamu.edu/index.html
- https://tamids.tamu.edu/
- https://genai.tamids.tamu.edu/
- https://genai.tamids.tamu.edu/about-genai/
- https://www.it.tamu.edu/about/strategic-initiatives/ai-framework.html
- https://tamu.libguides.com/c.php?g=1289555
- https://tamu.libguides.com/c.php?g=1491584
- https://aggiehonor.tamu.edu/rules-procedures/sr20.html
- https://www.tamus.edu/catie/workgroups/emergingtech/",0.9166666666666666,0.75,0.5,0.6666666666666666,0.3543562610229277,0.48484848484848486,0.17255089058524176,70.83333333333333,75.0,0.875,0.75,0.5,0.875,62.5,0.875,0.625,0.5,0.5,75.0,1.0,0.875,0.5,0.625,69.69696969696969,72.72727272727273,61.36363636363637,75.0,66.66666666666666,72.91666666666666,58.333333333333336,68.75,71.66666666666666,75.0,62.5,77.5,9.0,12.5,3.5,34.5,25.5,7.0,-2.0,25.5,15.0,14.5,-0.5,37.5,22.5,8.5,-6.5,22.5,9.5,8.5,-1.0,28.0,18.5,10.0,0.5,18.5,17.5,14.5,-3.0,40.0,22.5,7.0,-10.5,22.5
U2,Public Research-Oriented,R1,South,~55k students,University of Texas at Austin,"- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/responsible-adoption-of-ai-tools/   
- https://security.utexas.edu/ai-tools   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies   ","- https://ctl.utexas.edu/homepage   
- https://ctl.utexas.edu/teaching-technology/generative-ai-teaching-and-learning-introduction   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-tools   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/ ","- https://ai.utexas.edu/   
- https://ml.utexas.edu/   
- https://robotics.utexas.edu/   
- https://goodsystems.utexas.edu/   ","- https://guides.lib.utexas.edu/AI   
- https://guides.lib.utexas.edu/AI/teaching  ","- https://guides.lib.utexas.edu/AI/academic_integrity   
- https://provost.utexas.edu/the-office/academic-affairs/your-syllabus-at-ut-austin/   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies ",,"- https://ai.utexas.edu/   
- https://ai.utexas.edu/industry/collaborative-research   ","- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/responsible-adoption-of-ai-tools/
- https://security.utexas.edu/ai-tools
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies
- https://ctl.utexas.edu/homepage
- https://ctl.utexas.edu/teaching-technology/generative-ai-teaching-and-learning-introduction
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-tools
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/
- https://ai.utexas.edu/
- https://ml.utexas.edu/
- https://robotics.utexas.edu/
- https://goodsystems.utexas.edu/
- https://guides.lib.utexas.edu/AI
- https://guides.lib.utexas.edu/AI/teaching
- https://guides.lib.utexas.edu/AI/academic_integrity
- https://provost.utexas.edu/the-office/academic-affairs/your-syllabus-at-ut-austin/
- https://ai.utexas.edu/industry/collaborative-research",0.9166666666666666,0.9166666666666666,0.5,0.75,0.25491651205936916,0.6363636363636364,0.2534722222222222,77.08333333333333,80.72916666666666,0.875,0.9375,0.41666666666666663,1.0,80.72916666666666,1.0,0.9375,0.6666666666666666,0.625,69.79166666666666,0.875,0.875,0.41666666666666663,0.625,77.27272727272727,79.54545454545455,81.81818181818183,70.45454545454545,72.22222222222221,77.43055555555554,75.34722222222221,63.888888888888886,80.0,83.33333333333333,83.33333333333333,73.33333333333333,4.0,5.5,1.5,4.0,0.0,16.0,12.0,12.0,4.0,6.0,2.0,4.0,0.0,19.0,15.0,15.0,5.0,6.0,1.0,4.0,-1.0,17.5,12.5,12.5,4.0,2.5,-1.5,4.0,0.0,16.5,12.5,12.5
U3,Public Research-Oriented,R1,South,~32k students,University of North Carolina at Chapel Hill,"- https://ai.unc.edu/teaching-generative-ai-usage-guidance/   
- https://ai.unc.edu/research-generative-ai-usage-guidance/   
- https://ai.unc.edu/staff-generative-ai-usage-guidance/   
- https://provost.unc.edu/discover-ai-at-carolina/ ",- https://ai.unc.edu/teaching/ ,"- https://ai.unc.edu/   
- https://renci.org/   
- https://engageai.org/   ","- https://library.unc.edu/ai/ 
- https://guides.lib.unc.edu/artificial-intelligence "," - https://ai.unc.edu/research-generative-ai-usage-guidance/   
- https://ai.unc.edu/staff-generative-ai-usage-guidance/   
- https://honor.unc.edu   
- https://guides.lib.unc.edu/GenAI/ethics ",- https://chancellor.unc.edu/wp-content/uploads/sites/1276/2024/09/UNC-Chapel-Hill-Generative-AI-Working-Group-Report.pdf ,,"- https://ai.unc.edu/teaching-generative-ai-usage-guidance/
- https://ai.unc.edu/research-generative-ai-usage-guidance/
- https://ai.unc.edu/staff-generative-ai-usage-guidance/
- https://provost.unc.edu/discover-ai-at-carolina/
- https://ai.unc.edu/teaching/
- https://ai.unc.edu/
- https://renci.org/
- https://engageai.org/
- https://library.unc.edu/ai/
- https://guides.lib.unc.edu/artificial-intelligence
- https://honor.unc.edu
- https://guides.lib.unc.edu/GenAI/ethics
- https://chancellor.unc.edu/wp-content/uploads/sites/1276/2024/09/UNC-Chapel-Hill-Generative-AI-Working-Group-Report.pdf",0.9166666666666666,0.8333333333333334,0.5555555555555555,0.3333333333333333,0.3552047952047952,0.5454545454545455,0.7488137603795967,65.97222222222221,65.10416666666666,0.875,0.8125,0.6666666666666666,0.25,62.5,0.875,0.875,0.5,0.25,70.3125,1.0,0.8125,0.5,0.5,68.18181818181819,68.18181818181817,65.9090909090909,70.45454545454545,58.79629629629629,58.68055555555555,54.166666666666664,63.541666666666664,69.44444444444444,68.33333333333333,67.5,72.5,20.0,25.5,5.5,34.5,14.5,13.5,-6.5,14.5,17.5,24.5,7.0,26.5,9.0,19.0,1.5,9.0,25.0,26.0,1.0,38.5,13.5,19.5,-5.5,13.5,22.0,28.5,6.5,28.0,6.0,20.0,-2.0,6.5
U4,Public Research-Oriented,R1,South,~50k students,University of South Florida,"- https://genai.usf.edu/at-usf/university-guidance   
- https://genai.usf.edu/at-usf/course-guidance   
- https://www.usf.edu/provost/faculty-success/teaching-learning/syllabus-course-guidance.aspx  
- https://lib.usf.edu/library-administration/ai-use-principles/","- https://www.usf.edu/citl/index.aspx 
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx 
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/","- https://aix.eng.usf.edu/  
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/   
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/ ","- https://guides.lib.usf.edu/AI   
- https://guides.lib.usf.edu/AI/PRIMOAI   
- https://guides.lib.usf.edu/AI/atthelibraries   
- https://guides.lib.usf.edu/advancedcomputing 
- https://lib.usf.edu/library-administration/ai-use-principles/ ","- https://genai.usf.edu/at-usf/course-guidance  
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx 
- https://genai.usf.edu/at-usf/university-guidance ",- https://genai.usf.edu/at-usf/genai-task-force ,"- https://genai.usf.edu/  
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/   
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/  
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/   
- https://www.usf.edu/ai-cybersecurity-computing/   ","- https://genai.usf.edu/at-usf/university-guidance
- https://genai.usf.edu/at-usf/course-guidance
- https://www.usf.edu/provost/faculty-success/teaching-learning/syllabus-course-guidance.aspx
- https://lib.usf.edu/library-administration/ai-use-principles/
- https://www.usf.edu/citl/index.aspx
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/
- https://aix.eng.usf.edu/
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/
- https://guides.lib.usf.edu/AI
- https://guides.lib.usf.edu/AI/PRIMOAI
- https://guides.lib.usf.edu/AI/atthelibraries
- https://guides.lib.usf.edu/advancedcomputing
- https://genai.usf.edu/at-usf/genai-task-force
- https://genai.usf.edu/
- https://www.usf.edu/ai-cybersecurity-computing/",0.8333333333333334,0.7916666666666666,0.4444444444444444,0.5833333333333334,0.42741702741702736,0.6363636363636364,0.13914514145141443,66.31944444444446,75.52083333333333,1.0,0.8125,0.5833333333333333,0.625,56.77083333333333,0.75,0.6875,0.3333333333333333,0.5,66.66666666666666,0.75,0.875,0.41666666666666663,0.625,66.66666666666666,75.0,56.81818181818182,68.18181818181817,61.342592592592595,70.4861111111111,51.73611111111111,61.80555555555555,68.88888888888889,76.66666666666666,59.166666666666664,70.83333333333333,19.0,11.0,-8.0,44.5,25.5,23.0,4.0,25.5,24.5,12.5,-12.0,47.0,22.5,24.0,-0.5,22.5,22.5,11.0,-11.5,45.0,22.5,23.0,0.5,22.5,23.0,13.0,-10.0,46.0,23.0,24.0,1.0,23.0
U5,Public Research-Oriented,R1,South,~62k students,University of Florida,"- https://privacy.ufl.edu/laws-and-regulations/ai-governance/ 
- https://ai.ufl.edu/for-our-students/guidance-for-students/ ","- https://teach.ufl.edu/artificial-intelligence-in-teaching-and-learning/   
- https://teach.ufl.edu/ai-awards/  
- https://teach.ufl.edu/events-and-workshops/harnessing-ai-for-teaching-and-learning/","- https://ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/the-ai-center/ ","- https://training.uflib.ufl.edu/libraries-and-ai/   
- https://guides.uflib.ufl.edu/ai/introduction   
- https://committees.uflib.ufl.edu/committees/ai-committee/ 
- https://guides.uflib.ufl.edu/artificialintelligence 
- https://guides.uflib.ufl.edu/ai 
- https://guides.uflib.ufl.edu/TDM ","- https://citt.it.ufl.edu/services/learning-innovation--technology/artificial-intelligence/   
- https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/   
- https://ai.ufl.edu/for-our-students/guidance-for-students/    
- https://guides.uflib.ufl.edu/artificialintelligence/transparency 
- https://policy.ufl.edu/regulation/4-040/ ","- https://committees.uflib.ufl.edu/committees/ai-committee/   
- https://www.ai.ufl.edu/faculty/course-designation/ 
- https://ai.ufl.edu/media/aiufledu/resources/UF-AI-BlueSky-Task-Force-Full-Report-April-2025.pdf 
- https://ai.ufl.edu/about/ ","- https://ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/ 
- https://presidentsearch.ufl.edu/artificial-intelligence-initiative/ 
- https://it.ufl.edu/ai/ 
- https://ai.ctsi.ufl.edu/about-us/","- https://privacy.ufl.edu/laws-and-regulations/ai-governance/
- https://ai.ufl.edu/for-our-students/guidance-for-students/
- https://teach.ufl.edu/artificial-intelligence-in-teaching-and-learning/
- https://teach.ufl.edu/ai-awards/
- https://teach.ufl.edu/events-and-workshops/harnessing-ai-for-teaching-and-learning/
- https://ai.ufl.edu/
- https://ailearning.ai.ufl.edu/
- https://ailearning.ai.ufl.edu/the-ai-center/
- https://training.uflib.ufl.edu/libraries-and-ai/
- https://guides.uflib.ufl.edu/ai/introduction
- https://committees.uflib.ufl.edu/committees/ai-committee/
- https://guides.uflib.ufl.edu/artificialintelligence
- https://guides.uflib.ufl.edu/ai
- https://guides.uflib.ufl.edu/TDM
- https://citt.it.ufl.edu/services/learning-innovation--technology/artificial-intelligence/
- https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/
- https://guides.uflib.ufl.edu/artificialintelligence/transparency
- https://policy.ufl.edu/regulation/4-040/
- https://www.ai.ufl.edu/faculty/course-designation/
- https://ai.ufl.edu/media/aiufledu/resources/UF-AI-BlueSky-Task-Force-Full-Report-April-2025.pdf
- https://ai.ufl.edu/about/
- https://presidentsearch.ufl.edu/artificial-intelligence-initiative/
- https://it.ufl.edu/ai/
- https://ai.ctsi.ufl.edu/about-us/",0.8333333333333334,0.875,0.49999999999999994,0.5833333333333334,0.11111111111111116,0.39393939393939387,0.23225030084235865,69.79166666666667,58.854166666666664,0.75,0.8125,0.41666666666666663,0.375,71.875,0.875,0.875,0.5,0.625,78.64583333333333,0.875,0.9375,0.5833333333333333,0.75,71.21212121212122,61.36363636363637,72.72727272727273,79.54545454545455,64.58333333333334,52.43055555555555,66.66666666666666,74.65277777777777,73.33333333333334,63.33333333333333,75.0,81.66666666666667,11.0,40.5,29.5,10.0,-1.0,4.0,-7.0,29.5,8.5,37.5,29.0,11.0,2.5,3.5,-5.0,29.0,15.0,40.0,25.0,13.0,-2.0,4.0,-11.0,25.0,9.0,38.5,29.5,10.0,1.0,4.0,-5.0,29.5
U6,Public Research-Oriented,R2,South,~28k students,Georgia Southern University,- https://digitalcommons.georgiasouthern.edu/provost/51/ ,"- https://www.georgiasouthern.edu/faculty-staff/faculty-center/teaching-resources 
- https://ww2.georgiasouthern.edu/academics/faculty-center/teaching-at-georgia-southern/ 
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/ ",- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force ,- https://georgiasouthern.libguides.com/AI ,- https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=1050&context=provost ,- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force ,"- https://digitalcommons.georgiasouthern.edu/provost/51/   
- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force   
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/   
- https://ww2.georgiasouthern.edu/academics/ce/ai-impact-conference-understanding-and-adapting-to-ai/   
- https://ww2.georgiasouthern.edu/academics/ce/unlocking-the-power-of-ai/  
- https://www.georgiasouthern.edu/academics/continuing-professional-education/courses/the-power-of-ai   
- https://careertraining.georgiasouthern.edu/training-programs/data-science-and-artificial-intelligence-course/ ","- https://digitalcommons.georgiasouthern.edu/provost/51/
- https://www.georgiasouthern.edu/faculty-staff/faculty-center/teaching-resources
- https://ww2.georgiasouthern.edu/academics/faculty-center/teaching-at-georgia-southern/
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/
- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force
- https://georgiasouthern.libguides.com/AI
- https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=1050&context=provost
- https://ww2.georgiasouthern.edu/academics/ce/ai-impact-conference-understanding-and-adapting-to-ai/
- https://ww2.georgiasouthern.edu/academics/ce/unlocking-the-power-of-ai/
- https://www.georgiasouthern.edu/academics/continuing-professional-education/courses/the-power-of-ai
- https://careertraining.georgiasouthern.edu/training-programs/data-science-and-artificial-intelligence-course/",0.6666666666666666,0.7916666666666666,0.27777777777777773,0.16666666666666666,0.2619235305260713,0.48484848484848486,0.32232142857142865,47.56944444444444,59.375,0.875,1.0,0.25,0.25,41.14583333333333,0.625,0.6875,0.3333333333333333,0.0,42.1875,0.5,0.6875,0.25,0.25,51.515151515151516,63.63636363636363,45.45454545454545,45.45454545454545,39.120370370370374,47.91666666666667,32.98611111111111,36.45833333333333,53.888888888888886,67.5,46.666666666666664,47.5,65.0,39.0,-26.0,69.0,4.0,65.5,0.5,26.0,57.0,34.0,-23.0,67.5,10.5,64.5,7.5,23.0,68.5,54.0,-14.5,69.0,0.5,64.0,-4.5,14.5,56.0,30.5,-25.5,69.0,13.0,65.0,9.0,25.5
U7,Public Research-Oriented,R2,South,~8k students,Southern University and A & M College,,,,- https://subr.libguides.com/AI ,,,,- https://subr.libguides.com/AI,0.9166666666666666,0.75,0.2222222222222222,0.3333333333333333,0.31793323389962047,0.48484848484848486,0.7322281959378734,55.55555555555556,55.72916666666667,0.875,0.8125,0.16666666666666666,0.375,63.020833333333336,1.0,0.8125,0.3333333333333333,0.375,47.91666666666667,0.875,0.625,0.16666666666666666,0.25,56.06060606060607,56.81818181818182,63.63636363636363,47.72727272727273,46.29629629629628,46.18055555555556,53.81944444444444,38.888888888888886,59.44444444444444,60.83333333333333,66.66666666666667,50.83333333333333,46.5,48.0,1.5,29.5,-17.0,62.0,15.5,17.0,48.0,46.5,-1.5,32.5,-15.5,62.0,14.0,15.5,56.0,57.0,1.0,40.0,-16.0,62.0,6.0,16.0,44.5,43.5,-1.0,29.5,-15.0,62.0,17.5,17.5
U8,Public Research-Oriented,R2,South,~16k students,University of South Alabama,"- https://www.southalabama.edu/departments/compliance/policylibrary/policy.html?doc=5D8D5472-5518-47A9-88C6-6344FD772CD2 
- https://libguides.southalabama.edu/c.php?g=1395847&p=10876813 ","- https://www.southalabama.edu/departments/ilc/minicourses.html  
- https://jagworks.southalabama.edu/southalabama-aialive/   
- https://libguides.southalabama.edu/ai_for_educators ","- https://sites.google.com/southalabama.edu/iaim/   
- https://www.southalabama.edu/departments/research/research-centers/ ",- https://jagworks.southalabama.edu/southalabama-aialive/ ,- https://els-bib.southalabama.edu/departments/ilc/minicourses.html ,,,"- https://www.southalabama.edu/departments/compliance/policylibrary/policy.html?doc=5D8D5472-5518-47A9-88C6-6344FD772CD2
- https://libguides.southalabama.edu/c.php?g=1395847&p=10876813
- https://www.southalabama.edu/departments/ilc/minicourses.html
- https://jagworks.southalabama.edu/southalabama-aialive/
- https://libguides.southalabama.edu/ai_for_educators
- https://sites.google.com/southalabama.edu/iaim/
- https://www.southalabama.edu/departments/research/research-centers/
- https://els-bib.southalabama.edu/departments/ilc/minicourses.html",0.9166666666666666,0.8333333333333334,0.3333333333333333,0.4166666666666667,0.4199775533108866,0.5757575757575758,0.3921744324970131,62.5,75.0,1.0,0.875,0.5,0.625,61.979166666666664,0.875,0.8125,0.4166666666666667,0.375,50.52083333333333,0.875,0.8125,0.08333333333333333,0.25,63.63636363636363,75.0,63.63636363636363,52.27272727272727,54.166666666666664,68.75,54.51388888888889,39.236111111111114,66.66666666666667,77.5,65.83333333333333,56.666666666666664,31.0,12.5,-18.5,37.5,6.5,60.0,29.0,29.0,31.5,12.5,-19.0,32.5,1.0,54.5,23.0,23.0,35.0,13.0,-22.0,37.0,2.0,61.0,26.0,26.0,27.5,11.5,-16.0,32.5,5.0,50.0,22.5,22.5
U9,Public Research-Oriented,R2,South,~6k students,Jackson State University,"- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/ 
- https://www.jsums.edu/ai/ ","- https://www.jsums.edu/scholars/main/teaching-learning/ 
- https://www.jsums.edu/scholars/main/teaching-research-writing-balance/ 
- https://www.jsums.edu/scholars/#AIONRAMP ","- https://www.jsums.edu/ai/   
- https://www.jsums.edu/ai-agency/   
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/ ",- https://drive.google.com/file/d/182Ra2GDW5cBWbL7zThSsWI4nA7xNuW_w/view ,- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/ ,,"- https://www.jsums.edu/ai/   
- https://www.jsums.edu/ai-agency/   
- https://www.jsums.edu/www.jsums.edu/ai-agency/   
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/   
- https://www.jsums.edu/informationtechnology/dit-software/ ","- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/
- https://www.jsums.edu/ai/
- https://www.jsums.edu/scholars/main/teaching-learning/
- https://www.jsums.edu/scholars/main/teaching-research-writing-balance/
- https://www.jsums.edu/scholars/#AIONRAMP
- https://www.jsums.edu/ai-agency/
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/
- https://drive.google.com/file/d/182Ra2GDW5cBWbL7zThSsWI4nA7xNuW_w/view
- https://www.jsums.edu/www.jsums.edu/ai-agency/
- https://www.jsums.edu/informationtechnology/dit-software/",0.4166666666666667,0.5833333333333334,0.05555555555555555,0.08333333333333333,0.3023569023569024,0.48484848484848486,0.6663602941176471,28.47222222222222,31.770833333333332,0.5,0.6875,0.08333333333333333,0.0,22.395833333333336,0.25,0.4375,0.08333333333333333,0.125,31.25,0.5,0.625,0.0,0.125,31.818181818181817,36.36363636363637,25.0,34.090909090909086,21.296296296296298,22.569444444444446,18.402777777777775,22.916666666666664,34.44444444444444,39.166666666666664,26.666666666666668,37.5,76.0,74.0,-2.0,77.0,1.0,74.0,-2.0,2.0,76.0,72.0,-4.0,77.0,1.0,73.5,-2.5,4.0,77.0,76.0,-1.0,77.0,0.0,78.0,1.0,1.0,76.0,72.0,-4.0,77.0,1.0,72.0,-4.0,4.0
U10,Public Research-Oriented,R1,West,~12k students,University of Wyoming,- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf ,- https://uwyo.libguides.com/aisupport/faculty ,"- https://www.uwyo.edu/president/initiatives/ai4wy/index.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html   
- https://www.uwyo.edu/soc/engagement/community-industry/wyo-ai.html   ",- https://uwyo.libguides.com/aisupport ,- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf ,- https://www.uwyo.edu/acadaffairs/resources/ai-committee.html ,"- https://www.uwyo.edu/president/initiatives/ai4wy/index.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html     ","- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf
- https://uwyo.libguides.com/aisupport/faculty
- https://www.uwyo.edu/president/initiatives/ai4wy/index.html
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html
- https://www.uwyo.edu/soc/engagement/community-industry/wyo-ai.html
- https://uwyo.libguides.com/aisupport
- https://www.uwyo.edu/acadaffairs/resources/ai-committee.html",0.75,0.875,0.5555555555555555,0.25,0.16683895814330596,0.5151515151515151,0.13034188034188032,60.763888888888886,65.10416666666666,0.625,0.9375,0.6666666666666666,0.375,72.91666666666666,1.0,0.875,0.6666666666666666,0.375,44.27083333333333,0.625,0.8125,0.3333333333333333,0.0,65.15151515151516,70.45454545454545,75.0,50.0,53.935185185185176,60.763888888888886,65.97222222222221,35.06944444444444,66.11111111111111,70.83333333333333,75.83333333333333,51.66666666666667,36.5,25.5,-11.0,7.5,-29.0,64.0,27.5,29.0,27.0,19.0,-8.0,6.5,-20.5,59.0,32.0,32.0,37.0,23.0,-14.0,15.5,-21.5,66.5,29.5,29.5,30.5,22.5,-8.0,9.0,-21.5,61.0,30.5,30.5
