Index,Type,Research Activity,Regional Coverage,Size,Institution,T1 - University Rules/Policies/Regulations,T2 - Center for Teaching & Learning,T3 - AI Institute/Initiative/Center/Hub/AI@U,T4 - Library/Library Guides,T5 - Academic Integrity/Honor Code,T6 - AI Steering Committee/Task Force,T7 - Other Relevant Links
U1,Public Research-Oriented,R1,South,~80k students,Texas A&M University,"- https://www.it.tamu.edu/security-and-policy/it-policy/research-security-compliance/cloud-services-research.html  
- https://www.it.tamu.edu/ai-services/index.html  
- https://policies.tamus.edu/15-99-08.pdf 
- https://policies.tamus.edu/29-01-05.pdf 
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html 
- https://www.cyber.tamus.edu/policy/guidelines/ai/ 
- https://service.tamu.edu/TDClient/36/Portal/KB/ArticleDet?ID=1019 ","- https://cte.tamu.edu/initiatives/gen-ai/index.html 
- https://genai.tamids.tamu.edu/opportunities/gaire/ ","- https://ai.tamu.edu/index.html 
- https://tamids.tamu.edu/  
- https://genai.tamids.tamu.edu/   
- https://genai.tamids.tamu.edu/about-genai/   
- https://www.it.tamu.edu/about/strategic-initiatives/ai-framework.html","- https://tamu.libguides.com/c.php?g=1289555 
- https://tamu.libguides.com/c.php?g=1491584 ","- https://aggiehonor.tamu.edu/rules-procedures/sr20.html 
- https://ai.tamu.edu/teach-with-ai/use-guidelines-and-ethics.html ",- https://www.tamus.edu/catie/workgroups/emergingtech/ ,"- https://genai.tamids.tamu.edu/   
- https://www.it.tamu.edu/ai-services/index.html   "
U2,Public Research-Oriented,R1,South,~55k students,University of Texas at Austin,"- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/responsible-adoption-of-ai-tools/   
- https://security.utexas.edu/ai-tools   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies   ","- https://ctl.utexas.edu/homepage   
- https://ctl.utexas.edu/teaching-technology/generative-ai-teaching-and-learning-introduction   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-tools   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/ ","- https://ai.utexas.edu/   
- https://ml.utexas.edu/   
- https://robotics.utexas.edu/   
- https://goodsystems.utexas.edu/   ","- https://guides.lib.utexas.edu/AI   
- https://guides.lib.utexas.edu/AI/teaching  ","- https://guides.lib.utexas.edu/AI/academic_integrity   
- https://provost.utexas.edu/the-office/academic-affairs/your-syllabus-at-ut-austin/   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies ",None,"- https://ai.utexas.edu/   
- https://ai.utexas.edu/industry/collaborative-research   "
U3,Public Research-Oriented,R1,South,~32k students,University of North Carolina at Chapel Hill,"- https://ai.unc.edu/teaching-generative-ai-usage-guidance/   
- https://ai.unc.edu/research-generative-ai-usage-guidance/   
- https://ai.unc.edu/staff-generative-ai-usage-guidance/   
- https://provost.unc.edu/discover-ai-at-carolina/ ",- https://ai.unc.edu/teaching/ ,"- https://ai.unc.edu/   
- https://renci.org/   
- https://engageai.org/   ","- https://library.unc.edu/ai/ 
- https://guides.lib.unc.edu/artificial-intelligence "," - https://ai.unc.edu/research-generative-ai-usage-guidance/   
- https://ai.unc.edu/staff-generative-ai-usage-guidance/   
- https://honor.unc.edu   
- https://guides.lib.unc.edu/GenAI/ethics ",- https://chancellor.unc.edu/wp-content/uploads/sites/1276/2024/09/UNC-Chapel-Hill-Generative-AI-Working-Group-Report.pdf ,None
U4,Public Research-Oriented,R1,South,~50k students,University of South Florida,"- https://genai.usf.edu/at-usf/university-guidance   
- https://genai.usf.edu/at-usf/course-guidance   
- https://www.usf.edu/provost/faculty-success/teaching-learning/syllabus-course-guidance.aspx  
- https://lib.usf.edu/library-administration/ai-use-principles/","- https://www.usf.edu/citl/index.aspx 
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx 
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/","- https://aix.eng.usf.edu/  
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/   
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/ ","- https://guides.lib.usf.edu/AI   
- https://guides.lib.usf.edu/AI/PRIMOAI   
- https://guides.lib.usf.edu/AI/atthelibraries   
- https://guides.lib.usf.edu/advancedcomputing 
- https://lib.usf.edu/library-administration/ai-use-principles/ ","- https://genai.usf.edu/at-usf/course-guidance  
- https://www.usf.edu/provost/faculty-success/teaching-learning/guidance-generative-ai.aspx 
- https://genai.usf.edu/at-usf/university-guidance ",- https://genai.usf.edu/at-usf/genai-task-force ,"- https://genai.usf.edu/  
- https://www.usf.edu/innovative-education/digital-learning/generative-ai/   
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/  
- https://www.usf.edu/ai-cybersecurity-computing/centers/ai-x/about/   
- https://www.usf.edu/ai-cybersecurity-computing/   "
U5,Public Research-Oriented,R1,South,~62k students,University of Florida,"- https://privacy.ufl.edu/laws-and-regulations/ai-governance/ 
- https://ai.ufl.edu/for-our-students/guidance-for-students/ ","- https://teach.ufl.edu/artificial-intelligence-in-teaching-and-learning/   
- https://teach.ufl.edu/ai-awards/  
- https://teach.ufl.edu/events-and-workshops/harnessing-ai-for-teaching-and-learning/","- https://ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/the-ai-center/ ","- https://training.uflib.ufl.edu/libraries-and-ai/   
- https://guides.uflib.ufl.edu/ai/introduction   
- https://committees.uflib.ufl.edu/committees/ai-committee/ 
- https://guides.uflib.ufl.edu/artificialintelligence 
- https://guides.uflib.ufl.edu/ai 
- https://guides.uflib.ufl.edu/TDM ","- https://citt.it.ufl.edu/services/learning-innovation--technology/artificial-intelligence/   
- https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/   
- https://ai.ufl.edu/for-our-students/guidance-for-students/    
- https://guides.uflib.ufl.edu/artificialintelligence/transparency 
- https://policy.ufl.edu/regulation/4-040/ ","- https://committees.uflib.ufl.edu/committees/ai-committee/   
- https://www.ai.ufl.edu/faculty/course-designation/ 
- https://ai.ufl.edu/media/aiufledu/resources/UF-AI-BlueSky-Task-Force-Full-Report-April-2025.pdf 
- https://ai.ufl.edu/about/ ","- https://ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/ 
- https://presidentsearch.ufl.edu/artificial-intelligence-initiative/ 
- https://it.ufl.edu/ai/ 
- https://ai.ctsi.ufl.edu/about-us/"
U6,Public Research-Oriented,R2,South,~28k students,Georgia Southern University,- https://digitalcommons.georgiasouthern.edu/provost/51/ ,"- https://www.georgiasouthern.edu/faculty-staff/faculty-center/teaching-resources 
- https://ww2.georgiasouthern.edu/academics/faculty-center/teaching-at-georgia-southern/ 
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/ ",- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force ,- https://georgiasouthern.libguides.com/AI ,- https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=1050&context=provost ,- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force ,"- https://digitalcommons.georgiasouthern.edu/provost/51/   
- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force   
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/   
- https://ww2.georgiasouthern.edu/academics/ce/ai-impact-conference-understanding-and-adapting-to-ai/   
- https://ww2.georgiasouthern.edu/academics/ce/unlocking-the-power-of-ai/  
- https://www.georgiasouthern.edu/academics/continuing-professional-education/courses/the-power-of-ai   
- https://careertraining.georgiasouthern.edu/training-programs/data-science-and-artificial-intelligence-course/ "
U7,Public Research-Oriented,R2,South,~8k students,Southern University and A & M College,None,None,None,- https://subr.libguides.com/AI ,None,None,None
U8,Public Research-Oriented,R2,South,~16k students,University of South Alabama,"- https://www.southalabama.edu/departments/compliance/policylibrary/policy.html?doc=5D8D5472-5518-47A9-88C6-6344FD772CD2 
- https://libguides.southalabama.edu/c.php?g=1395847&p=10876813 ","- https://www.southalabama.edu/departments/ilc/minicourses.html  
- https://jagworks.southalabama.edu/southalabama-aialive/   
- https://libguides.southalabama.edu/ai_for_educators ","- https://sites.google.com/southalabama.edu/iaim/   
- https://www.southalabama.edu/departments/research/research-centers/ ",- https://jagworks.southalabama.edu/southalabama-aialive/ ,- https://els-bib.southalabama.edu/departments/ilc/minicourses.html ,None,None
U9,Public Research-Oriented,R2,South,~6k students,Jackson State University,"- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/ 
- https://www.jsums.edu/ai/ ","- https://www.jsums.edu/scholars/main/teaching-learning/ 
- https://www.jsums.edu/scholars/main/teaching-research-writing-balance/ 
- https://www.jsums.edu/scholars/#AIONRAMP ","- https://www.jsums.edu/ai/   
- https://www.jsums.edu/ai-agency/   
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/ ",- https://drive.google.com/file/d/182Ra2GDW5cBWbL7zThSsWI4nA7xNuW_w/view ,- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/ ,None,"- https://www.jsums.edu/ai/   
- https://www.jsums.edu/ai-agency/   
- https://www.jsums.edu/www.jsums.edu/ai-agency/   
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/   
- https://www.jsums.edu/informationtechnology/dit-software/ "
U10,Public Research-Oriented,R1,West,~12k students,University of Wyoming,- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf ,- https://uwyo.libguides.com/aisupport/faculty ,"- https://www.uwyo.edu/president/initiatives/ai4wy/index.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html   
- https://www.uwyo.edu/soc/engagement/community-industry/wyo-ai.html   ",- https://uwyo.libguides.com/aisupport ,- https://www.uwyo.edu/regs-policies/_files/docs/regulations-2023/uwreg2-114approved7-14-23.pdf ,- https://www.uwyo.edu/acadaffairs/resources/ai-committee.html ,"- https://www.uwyo.edu/president/initiatives/ai4wy/index.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/about-us.html   
- https://www.uwyo.edu/president/initiatives/ai4wy/opportunities.html     "
