Index,,,A1,,A2,,B1,,B2,,B3,,B4,,C1,,C2,,C3,,D1,,D2,,
U16,1/13/2026 18:28:01,maria,present/yes,https://portlandstate.atlassian.net/servicedesk/customer/portal/1014/article/3353444373,present/yes,https://guides.library.pdx.edu/cite/AI,present/yes,https://www.pdx.edu/academic-affairs/ai,present/yes,https://www.pdx.edu/dean-student-life/academic-misconduct,present/yes,https://sites.google.com/pdx.edu/innovaite-psu/innovaite-academy,present/yes,https://oaiplus.pdx.edu/syllabus-template/#ai-usage-syllabus-statements,present/yes,https://www.pdx.edu/academic-affairs/ai,absent/no,https://www.pdx.edu/academic-affairs/ai,absent/no,https://www.pdx.edu/academic-affairs/ai,partial/implicit/somewhat,https://www.pdx.edu/dean-student-life/academic-misconduct,present/yes,https://www.pdx.edu/dean-student-life/academic-misconduct,-
U26,1/13/2026 13:12:26,m,partial/implicit/somewhat,https://stonybrook.edu/genai/faqs/index.php?accordion=content-d19e107,present/yes,https://guides.library.stonybrook.edu/genai/citing-ai,present/yes,https://www.stonybrook.edu/celt/innovative-technology/ai-teaching-resources.php?accordion=content-d19e493,absent/no,https://www.aldacenter.org/commcms/ceas-undergrad/student_organization/ai_community,absent/no,https://stonybrook.edu/celt/innovative-technology/AI/index.php,present/yes,https://stonybrook.edu/celt/innovative-technology/AI/index.php?accordion=content-d19e653,absent/no,https://stonybrook.edu/genai/about/,absent/no,https://www.aldacenter.org/commcms/ceas-undergrad/student_organization/ai_community,absent/no,https://stonybrook.edu/genai/index.php,present/yes,https://www.stonybrook.edu/celt/innovative-technology/AI/ai-flagged-eval-process,present/yes,https://www.stonybrook.edu/celt/innovative-technology/AI/ai-flagged-eval-process,-
U18,1/13/2026 13:43:22,m,unclear or took longer than 5 minutes,https://genai.umich.edu/about-generative-ai,present/yes,https://guides.lib.umich.edu/c.php?g=1039501&p=9763907,present/yes,https://crlt.umich.edu/genai,absent/no,https://genai.umich.edu/resources/students,present/yes,https://crlt.umich.edu/GenAILC,present/yes,https://genai.umich.edu/resources/faculty/course-policies,present/yes,https://it.umich.edu/strategy-planning/gaia,absent/no,https://it.umich.edu/strategy-planning/gaia,absent/no,https://genai.umich.edu/about-generative-ai,present/yes,https://teamdynamix.umich.edu/TDClient/30/Portal/KB/ArticleDet?ID=11803,partial/implicit/somewhat,https://teamdynamix.umich.edu/TDClient/30/Portal/KB/ArticleDet?ID=11803,-
U5,1/13/2026 14:12:22,m,partial/implicit/somewhat,https://citt.it.ufl.edu/services/learning-innovation-and-technology/artificial-intelligence/,present/yes,https://guides.uflib.ufl.edu/artificialintelligence/cite,present/yes,https://teach.ufl.edu/artificial-intelligence-in-teaching-and-learning/,present/yes,https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/,present/yes,https://teach.ufl.edu/events-and-workshops/harnessing-ai-for-teaching-and-learning/,present/yes,https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/,partial/implicit/somewhat,https://ai.ufl.edu/media/aiufledu/resources/UF-AI-BlueSky-Task-Force-Full-Report-April-2025.pdf,absent/no,https://ai.ufl.edu/for-our-students/guidance-for-students/,absent/no,https://privacy.ufl.edu/laws-and-regulations/ai-governance/,present/yes,https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/,absent/no,https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/,-
U35,1/13/2026 14:26:23,m,partial/implicit/somewhat,https://libguides.baylor.edu/students-chatGPT/cheating,present/yes,https://libguides.baylor.edu/students-chatGPT/citing,present/yes,https://atl.web.baylor.edu/resources/ai-resources,present/yes,https://libguides.baylor.edu/students-chatGPT/effective-use,present/yes,https://atl.web.baylor.edu/resources/ai-resources,absent/no,https://atl.web.baylor.edu/resources/ai-resources,partial/implicit/somewhat,https://provost.web.baylor.edu/ai,absent/no,https://libguides.baylor.edu/students-chatGPT/citing,absent/no,https://its.web.baylor.edu/policies,present/yes,https://honorcode.web.baylor.edu/academic-integrity-office/faculty-resources/suggestions-dealing-artificial-intelligence-ai-produced,absent/no,https://studentconduct.web.baylor.edu/,-
U68,1/13/2026 10:52:18,anna,present/yes,https://libguides.oxy.edu/AI,partial/implicit/somewhat,https://libguides.oxy.edu/AI/students,present/yes,https://libguides.oxy.edu/AI/faculty,absent/no,https://libguides.oxy.edu/AI/students,absent/no,https://www.oxy.edu/academics/library/research-support/ai-position-statement,partial/implicit/somewhat,https://libguides.oxy.edu/AI/faculty,absent/no,https://www.oxy.edu/academics/library/research-support/ai-position-statement,absent/no,"https://www.oxy.edu/academics/library/research-support/academic-technology, https://www.oxy.edu/academics/library/research-support/ai-position-statement",absent/no,https://www.oxy.edu/academics/library/research-support/ai-position-statement,absent/no,https://libguides.oxy.edu/AI/students,absent/no,https://libguides.oxy.edu/AI/students,
U20,1/13/2026 11:23:23,anna,present/yes,https://teaching.resources.osu.edu/teaching-topics/ai-considerations-teaching-learning,unclear or took longer than 5 minutes,https://guides.osu.edu/ai/ethics,present/yes,https://teaching.resources.osu.edu/teaching-topics/ai-considerations-teaching-learning,present/yes,https://ai.osu.edu/resources-buckeyes/approved-ai-tools,present/yes,https://cdli.ehe.osu.edu/ai-in-ehe/,present/yes,https://teaching.resources.osu.edu/teaching-topics/ai-considerations-teaching-learning,unclear or took longer than 5 minutes,https://oaa.osu.edu/resources/policies-and-procedures/academic-integrity/faculty-obligations,absent/no,https://oaa.osu.edu/resources/policies-and-procedures/academic-integrity/faculty-obligations,partial/implicit/somewhat,https://teaching.resources.osu.edu/teaching-topics/ai-considerations-teaching-learning,unclear or took longer than 5 minutes,"https://ai.osu.edu/education-and-fluency/teach-ai, https://oaa.osu.edu/resources/policies-and-procedures/academic-integrity/faculty-obligations",unclear or took longer than 5 minutes,https://ai.osu.edu/education-and-fluency/teach-ai,
U62,1/13/2026 10:56:51,anna,partial/implicit/somewhat,"https://liu.cwp.libguides.com/c.php?g=1356512, https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf",present/yes,https://liu.cwp.libguides.com/c.php?g=1356512,absent/no,"https://liu.cwp.libguides.com/c.php?g=1356512, https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf",absent/no,https://liu.cwp.libguides.com/c.php?g=1356512,absent/no,https://liu.edu/student-success/learning-center/writing-center/For-Students,absent/no,"https://liu.cwp.libguides.com/c.php?g=1356512, https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf",absent/no,https://liu.edu/student-success/learning-center/writing-center/For-Students,absent/no,https://liu.edu/student-success/learning-center/writing-center/For-Students,absent/no,https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf,absent/no,https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf,absent/no,https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf,
U43,1/13/2026 11:13:20,anna,present/yes,"https://caltech.app.box.com/s/nbp3eg1x5h6ye3nznoi3118f5imjtxoj, https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing",present/yes,https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing,present/yes,https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing,partial/implicit/somewhat,"https://www.imss.caltech.edu/services/collaboration-storage-backups/caltech-ai/guidelines-for-secure-and-ethical-use-of-artificial-intelligence-ai, https://caltech.app.box.com/s/nbp3eg1x5h6ye3nznoi3118f5imjtxoj",absent/no,https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing,present/yes,https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing,present/yes,https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing,absent/no,https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing,present/yes,https://aiinteaching.caltech.edu/,present/yes,"https://aiinteaching.caltech.edu/, https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing",present/yes,"https://aiinteaching.caltech.edu/, https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing",
U14,1/13/2026 11:07:16,anna,partial/implicit/somewhat,"https://www.csulb.edu/information-technology/ai-technology/student-guidelines-generative-ai, https://www.csulb.edu/information-technology/ai-technology/ai-guidelines",absent/no,https://www.csulb.edu/information-technology/ai-technology/ai-guidelines,present/yes,https://www.csulb.edu/information-technology/ai-technology/ai-for-teaching-and-learning,partial/implicit/somewhat,https://www.csulb.edu/information-technology/ai-technology/student-guidelines-generative-ai,present/yes,"https://www.csulb.edu/information-technology/ai-technology/ai-steering-committee, https://genai.calstate.edu/about/systemwide-generative-ai-advisory-committee",present/yes,https://www.csulb.edu/information-technology/ai-technology/ai-for-teaching-and-learning,present/yes,"https://www.csulb.edu/information-technology/ai-technology/ai-steering-committee, https://genai.calstate.edu/about/systemwide-generative-ai-advisory-committee",absent/no,"https://www.csulb.edu/information-technology/ai-technology/ai-steering-committee, https://genai.calstate.edu/about/systemwide-generative-ai-advisory-committee",present/yes,https://www.csulb.edu/information-technology/ai-technology/student-guidelines-generative-ai,absent/no,"https://www.csulb.edu/academic-senate/policy-academic-integrity-regarding-cheating-and-plagiarism, https://www.csulb.edu/information-technology/ai-technology/article/genai-dos-and-donts",unclear or took longer than 5 minutes,https://www.csulb.edu/academic-senate/policy-academic-integrity-regarding-cheating-and-plagiarism,
