Index,alpha_overall,pairwise_overall,alpha_domain_aggregated
U1,0.35,0.48,0.17
U2,0.25,0.64,0.25
U3,0.36,0.55,0.75
U4,0.43,0.64,0.14
U5,0.11,0.39,0.23
U6,0.26,0.48,0.32
U7,0.32,0.48,0.73
U8,0.42,0.58,0.39
U9,0.3,0.48,0.67
U10,0.17,0.52,0.13
U11,0.41,0.64,0.3
U12,0.2,0.36,0.63
U13,0.62,0.73,0.71
U14,0.5,0.61,0.72
U15,0.21,0.52,-0.06
U16,0.1,0.67,0.23
U17,0.57,0.7,0.5
U18,0.05,0.42,0.03
U19,0.42,0.58,0.19
U20,0.18,0.42,0.3
U21,-0.11,0.33,-0.36
U22,0.18,0.39,0.11
U23,0.22,0.3,0.33
U24,-0.04,0.3,-0.12
U25,0.26,0.39,0.57
U26,0.06,0.52,0.1
U27,-0.12,0.55,0.08
U28,0.53,0.64,0.55
U29,0.17,0.45,0.23
U30,-0.13,0.42,-0.04
U31,0.35,0.64,0.62
U32,0.28,0.45,0.69
U33,0.21,0.42,0.43
U34,0.52,0.7,0.93
U35,-0.02,0.48,0.23
U36,0.31,0.52,0.35
U37,-0.02,0.39,-0.07
U38,0.41,0.42,0.24
U39,0.42,0.48,0.47
U40,0.2,0.48,0.24
U41,0.41,0.64,0.47
U42,0.44,0.7,0.27
U43,0.32,0.45,0.31
U44,-0.03,0.33,-0.08
U45,-0.15,0.33,-0.33
U46,0.64,0.67,0.76
U47,0.31,0.52,0.4
U48,0.55,0.61,0.28
U49,0.37,0.58,0.49
U50,0.1,0.45,0.34
U51,0.47,0.48,0.33
U52,0.43,0.58,0.72
U53,-0.14,0.3,-0.06
U54,-0.21,0.36,-0.09
U55,0.26,0.58,0.41
U56,0.35,0.52,0.44
U57,0.61,0.58,0.83
U58,0.08,0.42,-0.19
U59,0.55,0.67,0.56
U60,0.18,0.48,-0.21
U61,-0.02,0.33,-0.1
U62,0.16,0.33,0.25
U63,0.15,0.39,0.14
U64,0.72,0.7,0.82
U65,0.48,0.52,0.71
U66,-0.08,0.3,-0.0
U67,0.31,0.45,0.56
U68,-0.1,0.3,-0.12
U69,0.1,0.39,0.08
U70,0.01,0.45,-0.25
U71,-0.26,0.27,-0.32
U72,0.04,0.36,0.27
U73,0.39,0.45,0.62
U74,0.35,0.48,0.42
U75,0.5,0.48,0.62
U76,0.26,0.39,0.3
U77,0.62,0.61,0.79
U78,0.17,0.52,0.39
U79,0.03,0.42,-0.01
