rank,percentileRank,acaiIndicators,institution,index,lat,lng,dx,dy,yype,researchActivity,regionalCoverage,sizeBucket,sizeStudentsInThousands,t1UniversityRulesPoliciesRegulations,t2CenterForTeachingAndLearning,t3AiInstituteInitiativeCenterHubAi,t4LibraryLibraryGuides,t5AcademicIntegrityHonorCode,t6AiSteeringCommitteeTaskForce,t7OtherRelevantLinks,,,
1,1,81.82,University of New Hampshire,U27,43.1356,-70.9333,0,0,Public Research-Oriented,R1,Northeast,medium,14,"- https://www.usnh.edu/it/departments/cybersecurity/cybersecurity-policies-standards/artificial-intelligence-standard 
- https://td.usnh.edu/TDClient/60/Portal/KB/ArticleDet?ID=5146 
- https://www.unh.edu/teaching-learning-resource-hub/delivery/generative-artificial-intelligence ","- https://www.unh.edu/e3/ceitl   
- https://www.unh.edu/e3/ceitl/center-excellence-innovation-teaching-learning   
- https://www.unh.edu/e3/ceitl/history-ceitl/ceitl-mission-statement   
- https://www.unh.edu/teaching-learning-resource-hub/delivery/generative-artificial-intelligence ","- https://www.usnh.edu/it/artificial-intelligence 
- https://www.unh.edu/teaching-learning-resource-hub/delivery/generative-artificial-intelligence ",- https://libraryguides.unh.edu/c.php?g=464201&p=10049703 ,- https://catalog.unh.edu/srrr/student-policies-regulations/academic-integrity/  ,- https://www.unh.edu/fac-senate/committees/ad-hoc-committees/special-committee-artificial-intelligence ,- https://www.unh.edu/career/generative-ai-career ,,,
2,3,80.3,Portland State University,U16,45.5122,-122.6819,0,0,Public Research-Oriented,R2,West,large,20,"- https://www.pdx.edu/academic-affairs/ai   
- https://www.pdx.edu/dean-student-life/academic-misconduct   
- https://oaiplus.pdx.edu/syllabus-template/ ","- https://www.pdx.edu/academic-affairs/ai   
- https://www.pdx.edu/academic-innovation/teaching-innovation   ",- https://www.pdx.edu/academic-affairs/ai ,"- https://guides.library.pdx.edu/home/topics  
- https://guides.library.pdx.edu/AIresearch 
- https://guides.library.pdx.edu/c.php?g=1446447&p=10749323 
- https://guides.library.pdx.edu/cite/AI 
- https://guides.library.pdx.edu/c.php?g=1446447&p=10833506 ",- https://www.pdx.edu/dean-student-life/academic-misconduct   ,- https://www.pdx.edu/academic-affairs/ai ,"- https://www.pdx.edu/academic-affairs/ai 
- https://www.pdx.edu/technology/notebooklm 
- https://www.pdx.edu/technology/gemini 
- https://sites.google.com/pdx.edu/innovaite-psu/home ",,,
3,3,80.3,Stanford University,U42,37.4275,-122.1697,0,0,Private Research-Oriented,R1,West,medium,18,"- https://communitystandards.stanford.edu/generative-ai-policy-guidance 
- https://uit.stanford.edu/security/responsibleai 
- https://uit.stanford.edu/ai/use-cases 
- https://communitystandards.stanford.edu/generative-ai-policy-guidance 
- https://teachingcommons.stanford.edu/teaching-guides/artificial-intelligence-teaching-guide/creating-your-course-policy-ai ","- https://ctl.stanford.edu/academic-tech   
- https://ctl.stanford.edu/aimes   
- https://ctl.stanford.edu/opportunities/department-guidance-draft-quant1   
- https://ctl.stanford.edu/strategies-limiting-ai-use   
- https://teachingcommons.stanford.edu/professional-development/workshops-programs/do-it-yourself-workshop-kits ","- https://hai.stanford.edu/   
- https://iai.stanford.edu/ 
- https://aimi.stanford.edu/   
- https://ai4all.spcs.stanford.edu/ 
- https://momentum.stanford.edu/initiatives/human-centered-artificial-intelligence 
- https://uit.stanford.edu/ai ",- https://guides.library.stanford.edu/ai_research ,"- https://teachingcommons.stanford.edu/teaching-guides/foundations-course-design/feedback-and-assessment/academic-honesty-and-stanfords 
- https://studentaffairs.stanford.edu/AIWG 
- https://studentaffairs.stanford.edu/AIWG/charge-academic-integrity-working-group ",- https://studentaffairs.stanford.edu/AIWG/charge-academic-integrity-working-group ,"- https://uit.stanford.edu/ai 
- https://stanfordaialignment.org/ ",,,
4,5,77.27,University of Texas at Austin,U2,30.2849,-97.7341,0,0,Public Research-Oriented,R1,South,large,55,"- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/responsible-adoption-of-ai-tools/   
- https://security.utexas.edu/ai-tools   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies   ","- https://ctl.utexas.edu/homepage   
- https://ctl.utexas.edu/teaching-technology/generative-ai-teaching-and-learning-introduction   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-tools   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/ ","- https://ai.utexas.edu/   
- https://ml.utexas.edu/   
- https://robotics.utexas.edu/   
- https://goodsystems.utexas.edu/   ","- https://guides.lib.utexas.edu/AI   
- https://guides.lib.utexas.edu/AI/teaching  ","- https://guides.lib.utexas.edu/AI/academic_integrity   
- https://provost.utexas.edu/the-office/academic-affairs/your-syllabus-at-ut-austin/   
- https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/ai-detection-software-guidance/   
- https://ctl.utexas.edu/generative-ai-teaching-and-learning-policies ",None,"- https://ai.utexas.edu/   
- https://ai.utexas.edu/industry/collaborative-research   ",,,
5,6,75.76,University of Notre Dame,U49,41.6993,-86.2389,0.01,0.01,Private Research-Oriented,R1,Midwest,medium,13,"- https://ai.nd.edu/ai-in-action/policies-and-guidelines/   
- https://honorcode.nd.edu/generative-ai-policy-for-students-august-2023/   
- https://ai.nd.edu/essentials/students/ 
- https://ai.nd.edu/about/generative-ai-task-force-gait/ai-recommendations/   
- https://ai.nd.edu/about/generative-ai-task-force-gait/   
- https://learning.nd.edu/resource-library/writing-ai-syllabus-policies-a-practical-guide-for-notre-dame-faculty/ ","- https://learning.nd.edu/   
- https://learning.nd.edu/about/kaneb-center/   
- https://learning.nd.edu/resource-library/   
- https://learning.nd.edu/learning-technology/lab-for-ai-in-teaching-and-learning-laitl/ai-academy/   
- https://learning.nd.edu/learning-technology/lab-for-ai-in-teaching-and-learning-laitl/ai-coaching/   
- https://learning.nd.edu/consultations-and-programs/kccda/ ","- https://ai.nd.edu/   
- https://strategicframework.nd.edu/initiatives/data-ai-computing/   ",- https://libguides.library.nd.edu/ai ,"- https://altech.nd.edu/artificial-intelligence/academic-integrity/   
- https://honorcode.nd.edu/generative-ai-policy-for-students-august-2023/  
- https://honorcode.nd.edu/official-statement-regarding-generative-ai-may-2023/   
- https://honorcode.nd.edu/policy-update-ai-editing-tools-fall-2024/  
- https://learningcontinuity.nd.edu/honor-code-academic-integrity/  ","- https://ai.nd.edu/about/generative-ai-task-force-gait/   
- https://ai.nd.edu/about/generative-ai-task-force-gait/ai-recommendations/   
- https://ai.nd.edu/about/ai-innovation-council/   
- https://strategicframework.nd.edu/initiatives/data-ai-computing/curriculum-task-force/ 
- https://strategicframework.nd.edu/initiatives/data-ai-computing/ ",None,,,
6,8,74.24,Baylor University,U35,31.5493,-97.1143,0,0,Private Research-Oriented,R1,South,large,20,"- https://its.web.baylor.edu/ai   
- https://honorcode.web.baylor.edu/academic-integrity-office/students-and-academic-integrity   
- https://honorcode.web.baylor.edu/academic-integrity-office/faculty-resources/suggestions-dealing-artificial-intelligence-ai-produced   
- https://libguides.baylor.edu/students-chatGPT/cheating ","- https://atl.web.baylor.edu/   
- https://atl.web.baylor.edu/resources/ai-resources ",- https://its.web.baylor.edu/ai ,"- https://libguides.baylor.edu/ai_toolkit_text 
- https://libguides.baylor.edu/local_ai_workshop 
- https://libguides.baylor.edu/students-chatGPT ","- https://honorcode.web.baylor.edu/academic-integrity-office/faculty-resources/suggestions-dealing-artificial-intelligence-ai-produced 
- https://honorcode.web.baylor.edu/academic-integrity-office/students-and-academic-integrity ","- https://provost.web.baylor.edu/ai 
- https://atl.web.baylor.edu/resources/ai-resources ",- https://ethics.web.baylor.edu/  ,,,
7,8,74.24,University at Buffalo,U28,42.9999,-78.7851,0,0,Public Research-Oriented,R1,Northeast,large,20,"- https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-guidance/generative-ai.html 
- https://www.buffalo.edu/academic-integrity/about/artificial-intelligence.html 
- https://www.buffalo.edu/academic-integrity/instructors/protect/ai-guidance.html ",- https://www.buffalo.edu/catt/ai-resources.html ,"- https://www.buffalo.edu/ai-data-science.html 
- https://www.buffalo.edu/research/research-expertise/expertise-in-ai.html ","- https://research.lib.buffalo.edu/artificial-intelligence 
- https://research.lib.buffalo.edu/ai-researchtools ","- https://www.buffalo.edu/academic-integrity/about/artificial-intelligence.html 
- https://www.buffalo.edu/academic-integrity/instructors/protect/ai-guidance.html 
- https://www.buffalo.edu/academic-integrity/about/violations.html ",- https://www.buffalo.edu/catt/ai-resources/ai-task-force-implementation-report.html ,"- https://www.buffalo.edu/ai-data-science.html   
- https://www.buffalo.edu/ai-data-science/research.html   ",,,
8,11,71.21,University of Florida,U5,29.6516,-82.3248,0,0,Public Research-Oriented,R1,South,large,62,"- https://privacy.ufl.edu/laws-and-regulations/ai-governance/ 
- https://ai.ufl.edu/for-our-students/guidance-for-students/ ","- https://teach.ufl.edu/artificial-intelligence-in-teaching-and-learning/   
- https://teach.ufl.edu/ai-awards/  
- https://teach.ufl.edu/events-and-workshops/harnessing-ai-for-teaching-and-learning/","- https://ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/the-ai-center/ ","- https://training.uflib.ufl.edu/libraries-and-ai/   
- https://guides.uflib.ufl.edu/ai/introduction   
- https://committees.uflib.ufl.edu/committees/ai-committee/ 
- https://guides.uflib.ufl.edu/artificialintelligence 
- https://guides.uflib.ufl.edu/ai 
- https://guides.uflib.ufl.edu/TDM ","- https://citt.it.ufl.edu/services/learning-innovation--technology/artificial-intelligence/   
- https://ai.ufl.edu/teaching-with-ai/expanding-the-ai-curriculum/guidance-for-instructors/   
- https://ai.ufl.edu/for-our-students/guidance-for-students/    
- https://guides.uflib.ufl.edu/artificialintelligence/transparency 
- https://policy.ufl.edu/regulation/4-040/ ","- https://committees.uflib.ufl.edu/committees/ai-committee/   
- https://www.ai.ufl.edu/faculty/course-designation/ 
- https://ai.ufl.edu/media/aiufledu/resources/UF-AI-BlueSky-Task-Force-Full-Report-April-2025.pdf 
- https://ai.ufl.edu/about/ ","- https://ai.ufl.edu/ 
- https://ailearning.ai.ufl.edu/ 
- https://presidentsearch.ufl.edu/artificial-intelligence-initiative/ 
- https://it.ufl.edu/ai/ 
- https://ai.ctsi.ufl.edu/about-us/",,,
9,11,71.21,University of Michigan at Ann Arbor,U18,42.278,-83.7382,0,0,Public Research-Oriented,R1,Midwest,large,52,"- https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/AI-and-UM-Data   
- https://genai.umich.edu/resources 
- https://its.umich.edu/about/ai-transparency 
- https://genai.umich.edu/resources/faculty/course-policies 
- https://genai.umich.edu/resources/students ","- https://crlt.umich.edu/genai   
- https://crlt.umich.edu/GenAILC ","- https://aiim.umich.edu/   
- https://e-hail.umich.edu/   
- https://midas.umich.edu/research/research-resources/generative-ai-hub/  
- https://genai.umich.edu/initiatives 
- https://genai.umich.edu/ ","- https://guides.lib.umich.edu/genai-library-instruction   
- https://www.lib.umich.edu/about-us/policies/statement-appropriate-use-electronic-resources/ 
- https://guides.lib.umich.edu/UMMSAI ","- https://academictechnology.umich.edu/instructional-resources/generative-ai/academic-integrity-resources   
- https://crlt.umich.edu/academic-integrity-genai   
- https://sites.lsa.umich.edu/learningteachingconsulting/home/teaching-methods/guidelines-for-using-generative-ai/ethical-issues-surrounding-genai-tools/ 
- https://teamdynamix.umich.edu/TDClient/30/Portal/KB/ArticleDet?ID=11803 ","- https://it.umich.edu/strategy-planning/gaia 
- https://genai.umich.edu/committee-report ","- https://aiim.umich.edu/   
- https://ai.engin.umich.edu/   
- https://midas.umich.edu/research/research-resources/generative-ai-hub/   
- https://genai.umich.edu/   
- https://caen.engin.umich.edu/ai/   
- https://it.umich.edu/community/communities-of-practice/directory/artificial-intelligence   
- https://micde.umich.edu/   ",,,
10,13,71.21,Rowan University,U31,39.7043,-74.986,0,0,Public Research-Oriented,R2,Northeast,large,24,- https://confluence.rowan.edu/display/POLICY/Artificial%2BIntelligence%2BPolicy   ,"- https://sites.rowan.edu/academic-affairs/facultycenter/profdevelopment/plc/   
- https://libguides.rowan.edu/GenAI/faculty   
- https://libguides.rowan.edu/GenAI ","- https://engineering.rowan.edu/mavrc/   
- https://engineering.rowan.edu/mavrc/research/   
- https://research.rowan.edu/explore-our-research/ai-digital-transformation.html ",- https://libguides.rowan.edu/GenAI   ,"- https://sites.rowan.edu/academic-affairs/academic_integrity/   
- https://sites.rowan.edu/academic-affairs/facultycenter/resources/generative-ai/   
- https://libguides.rowan.edu/GenAI/students ",None,None,,,
